Driver,Race sector,time [s],dist [mile],x[ft],y [ft]
Juan Pablo Montoya,Sec31,30.78706202,0.926646764,1728.211047,3591.212927
Juan Pablo Montoya,Sec32,33.19812254,0.988215853,1824.490214,3901.713241
Juan Pablo Montoya,Sec33,34.01200062,1.009190702,1822.083235,4012.434283
Juan Pablo Montoya,Sec34,34.62126543,1.025249916,1773.943651,4082.236679
Juan Pablo Montoya,Sec35,34.98083831,1.035258254,1728.211047,4108.71345
Juan Pablo Montoya,Sec36,35.70622639,1.054393822,1629.524901,4130.376262
Juan Pablo Montoya,Sec37,36.3366058,1.07263421,1533.245734,4132.783241
Juan Pablo Montoya,Sec38,38.08725285,1.138071412,1191.454691,4082.236679
Juan Pablo Montoya,Sec39,39.91999108,1.207960488,825.5938566,4034.097095
Juan Pablo Montoya,Sec40,40.92118918,1.242645034,644.2680922,4008.422651
Juan Pablo Montoya,Sec41,41.50966336,1.259987307,553.60521,3995.585429
Juan Pablo Montoya,Sec42,41.92633977,1.272759729,498.244689,3957.073762
Juan Pablo Montoya,Sec43,42.5716765,1.294811645,440.4771888,3855.980636
Juan Pablo Montoya,Sec44,43.66673734,1.333139755,349.0119802,3675.457198
Juan Pablo Montoya,Sec45,45.17278503,1.392270853,298.4654176,3367.363864
Juan Pablo Montoya,Sec46,47.14599096,1.473543179,274.3956258,2938.921571
Juan Pablo Montoya,Sec47,49.03613846,1.530526587,274.3956258,2638.049175
Juan Pablo Montoya,Sec48,49.95128497,1.548880553,250.3258341,2544.176987
Juan Pablo Montoya,Sec49,51.37912089,1.572585651,202.1862506,2428.641986
Juan Pablo Montoya,Sec50,52.24776286,1.587800968,214.2211465,2349.211674
Juan Pablo Montoya,Sec51,52.94492332,1.60007557,274.3956258,2325.141882
Juan Pablo Montoya,Sec52,53.74829621,1.614491358,346.605001,2301.07209
Juan Pablo Montoya,Sec53,54.10883238,1.62468486,370.6747928,2252.932507
Juan Pablo Montoya,Sec54,55.35162469,1.656712578,385.1166678,2084.443965
Juan Pablo Montoya,Sec55,56.97830847,1.705088236,373.0817719,1829.304172
Juan Pablo Montoya,Sec56,58.09618149,1.735078621,426.0353138,1680.071463
Juan Pablo Montoya,Sec57,59.20447403,1.764032473,553.60521,1595.827192
Juan Pablo Montoya,Sec58,60.33796456,1.793667352,710.0588563,1593.420213
Juan Pablo Montoya,Sec59,61.34899715,1.825675598,871.3264609,1643.966776
Juan Pablo Montoya,Sec60,63.0977754,1.873269538,1112.024378,1716.176151
Juan Pablo Montoya,Sec61,63.81613999,1.89331215,1213.117504,1747.46688
Juan Pablo Montoya,Sec62,64.5581179,1.913871714,1321.431566,1740.245943
Juan Pablo Montoya,Sec63,65.28926124,1.932892909,1393.640942,1670.443547
Juan Pablo Montoya,Sec64,67.03742061,1.993851414,1535.652713,1381.606046
Juan Pablo Montoya,Sec65,69.54737972,2.059701753,1692.106359,1071.105732
Juan Pablo Montoya,Sec66,71.20356485,2.084377608,1747.46688,953.1637528
Juan Pablo Montoya,Sec67,72.08127835,2.100889823,1834.11813,943.5358361
Juan Pablo Montoya,Sec68,74.64549097,2.169820813,2055.560214,1232.373337
Juan Pablo Montoya,Sec1,76.19443825,2.228719499,2243.30459,1480.292192
